name,sex,country_cod),country,affiliate_name,age,height,weight
Wojciech Laszczak,M,PL,Poland,CrossFit 43300,29,171 cm,80 kg
Alexandre Jolivet,M,FR,France,Millesime CrossFit,40,173 cm,202 lb
Tyler Lloyd,M,US,United States,CrossFit Des Moines,29,66 in,180 lb
Jordan Lundin,M,US,United States,RJF CrossFit,26,70 in,185 lb
Robert Wagner,M,US,United States,CrossFit Sanitas,29,69 in,180 lb
Nick Anapolsky,M,CA,Canada,CrossFit PSC,31,70 in,185 lb
Marcus Ericsson,M,SE,Sweden,CrossFit Holistic,27,186 cm,90 kg
Mick Stocchi,M,ZA,South Africa,Iron Gate CrossFit,26,180 cm,176 lb
Ingimar Jónsson,M,IS,Iceland,CrossFit XY,22,173 cm,77 kg
Frank Gram,M,NO,Norway,CrossFit Gjovik,32,188 cm,95 kg
Fellonneau Romain,M,FR,France,,23,168 cm,161 lb
